code,rps,gains
sh.603260,95.85437151209142,53.4609250398724
sz.000039,95.82779697050225,53.34114888628372
sh.600143,95.8012224289131,53.216374269005826
sz.002149,95.77464788732395,52.87896592244419
sh.603026,95.74807334573478,52.47966413014957
sz.300106,95.72149880414564,51.99485199485201
sh.600280,95.69492426255647,51.80722891566266
sz.002738,95.66834972096731,51.675977653631286
sz.000858,95.64177517937816,51.5306606008909
sz.300442,95.615200637789,51.23094142514859
sz.002331,95.58862609619983,51.12917795844625
sz.000488,95.56205155461069,50.927830228653825
sz.300317,95.53547701302153,50.84269662921348
sh.600219,95.50890247143236,50.59760956175299
sh.601127,95.48232792984321,50.16910935738446
sh.603076,95.45575338825405,49.563257255564935
sh.603678,95.4291788466649,49.25373134328357
sz.002318,95.40260430507573,49.20127795527156
sh.601899,95.37602976348659,49.16286149162862
sz.002499,95.34945522189741,48.64864864864864
sz.300323,95.32288068030826,48.18548387096774
sz.002597,95.29630613871912,48.17973105936373
sh.600036,95.26973159712995,47.86601836844948
sz.300100,95.24315705554079,47.53820033955857
sh.600255,95.21658251395164,47.457627118644076
sz.300733,95.19000797236248,47.45166959578208
sz.300726,95.16343343077331,47.310344827586206
sh.600226,95.13685888918417,46.610169491525426
sz.002078,95.11028434759501,46.23397435897436
sz.300727,95.08370980600584,46.20938628158844
sh.600882,95.05713526441669,46.09761341646959
sz.002572,95.03056072282753,45.92806945018601
sz.002068,95.00398618123837,45.89843749999999
sz.300390,94.9774116396492,45.87912087912089
sz.000980,94.95083709806006,45.864661654135325
sz.002240,94.92426255647091,45.396825396825385
sh.600753,94.89768801488174,45.380212591986925
sz.300759,94.8711134732926,45.19603212092584
sz.002158,94.84453893170343,44.7125621007807
sh.688368,94.81796439011427,44.66230936819172
sh.603501,94.79138984852511,44.58870067958212
sz.002821,94.76481530693596,44.5693228926762
sh.601168,94.73824076534679,44.44444444444446
sz.300760,94.71166622375765,44.30149253731344
sh.600151,94.68509168216849,44.19014084507042
sh.603027,94.65851714057932,43.95864106351549
sh.603816,94.63194259899016,43.3851185609158
sz.300782,94.60536805740101,43.37682789651293
sh.601799,94.57879351581185,43.35867311679337
sz.000338,94.5522189742227,43.32882392311601
sh.600779,94.52564443263354,43.29464861379756
sh.603100,94.49906989104437,43.02325581395347
sh.600970,94.47249534945522,42.95190713101159
sh.603113,94.44592080786607,42.857142857142854
sz.000780,94.4193462662769,42.42424242424241
sz.002092,94.39277172468775,42.408376963350776
sh.603298,94.36619718309859,42.18862491000719
sh.603369,94.33962264150944,42.08675263774913
sh.603195,94.31304809992027,41.93446953021823
sh.600089,94.28647355833112,41.552511415525125
sz.000913,94.25989901674197,41.53132250580047
sh.600433,94.2333244751528,41.47727272727274
sz.300408,94.20674993356364,41.40597539543057
sh.603489,94.18017539197449,41.35272362565034
sz.002074,94.15360085038533,41.22740963855422
sh.600519,94.12702630879618,41.21223961513101
sz.300357,94.10045176720702,40.69987389659522
sh.688122,94.07387722561786,40.67469879518073
sh.688333,94.0473026840287,40.14814814814816
sh.603629,94.02072814243955,40.117187499999986
sz.002906,93.99415360085038,39.97456549385334
sz.300496,93.96757905926123,39.83488132094942
sz.002595,93.94100451767207,39.31933867683558
sh.600006,93.91442997608291,39.24611973392462
sz.300005,93.88785543449374,38.494623655913976
sh.603899,93.8612808929046,38.41345438309273
sz.002271,93.83470635131545,38.346331397041
sz.002841,93.80813180972628,38.32084833154976
sz.002716,93.78155726813713,38.18181818181818
sh.600595,93.75498272654796,37.85310734463276
sz.000333,93.72840818495881,37.747875354107656
sz.002088,93.70183364336965,37.63063061506261
sh.688116,93.6752591017805,37.349639133921414
sz.001896,93.64868456019133,36.91931540342298
sh.600817,93.62211001860217,36.5877712031558
sz.002142,93.59553547701303,36.1190250079139
sz.300628,93.56896093542386,35.87809758350008
sz.000762,93.5423863938347,35.38038496791933
sh.600406,93.51581185224555,35.30772790374826
sh.600019,93.48923731065639,35.29411764705883
sz.300454,93.46266276906722,35.27488151658768
sh.600741,93.43608822747808,35.263612791702684
sz.300082,93.40951368588892,35.150812064965216
sh.688188,93.38293914429975,35.07582938388625
sz.300724,93.35636460271061,34.88689325906559
sh.600532,93.32979006112144,34.79923518164434
sz.300518,93.30321551953229,34.75546305931323
sh.688363,93.27664097794313,33.953318745441294
sz.002054,93.25006643635398,33.81578947368421
sh.601965,93.22349189476482,33.81424706943192
sh.600885,93.19691735317565,33.80549682875265
sz.002488,93.17034281158651,33.77926421404681
sz.300568,93.14376826999734,33.77483443708608
sz.002810,93.11719372840818,33.46193415637859
sh.601677,93.09061918681903,33.42342342342343
sh.601865,93.06404464522987,33.3717086874315
sh.603319,93.03747010364071,33.33333333333333
sz.000703,93.01089556205156,32.50915750915752
sh.601636,92.9843210204624,32.48618784530386
sz.002340,92.95774647887323,32.31046931407942
sh.603589,92.93117193728409,32.14872637633525
sh.600616,92.90459739569492,32.048681541582155
sz.300752,92.87802285410577,32.023575638506884
sh.600610,92.85144831251661,31.90184049079755
sz.300073,92.82487377092745,31.86813186813186
sz.300475,92.79829922933828,31.666666666666664
sz.002833,92.77172468774914,31.663490334876133
sz.000536,92.74515014615999,31.606217616580317
sh.600316,92.71857560457082,31.490787269681736
sh.600707,92.69200106298166,31.262525050100194
sh.600803,92.6654265213925,31.107491856677544
sz.300623,92.63885197980335,31.106543336759167
sh.601658,92.61227743821419,30.901287553648054
sh.603535,92.58570289662504,30.059303187546345
sz.002539,92.55912835503588,29.85074626865672
sz.300035,92.53255381344671,29.74238875878222
sz.300243,92.50597927185757,29.555236728837876
sz.300062,92.4794047302684,29.50257289879931
sz.300152,92.45283018867924,29.457364341085263
sz.300751,92.42625564709009,29.336658624522222
sh.601155,92.39968110550093,29.328203610535674
sz.000550,92.37310656391178,29.322268326417696
sh.603233,92.34653202232262,29.31880108991825
sz.002928,92.31995748073346,29.19310970081596
sh.603306,92.2933829391443,28.96551724137933
sz.002727,92.26680839755514,28.965303593556385
sz.000733,92.24023385596598,28.200455580865608
sz.300363,92.21365931437683,28.083491461100564
sz.300769,92.18708477278767,28.0388978930308
sh.600258,92.16051023119851,27.906976744186064
sz.300600,92.13393568960936,27.88079470198675
sz.300589,92.10736114802019,27.875000000000007
sh.603288,92.08078660643105,27.760817626758683
sh.603179,92.05421206484188,27.737504769172055
sz.002360,92.02763752325272,27.612903225806456
sz.002145,92.00106298166357,27.474402730375413
sh.600908,91.97448844007441,27.38301559792028
sh.601601,91.94791389848524,27.36220472440945
sz.002677,91.9213393568961,27.32919254658384
sh.600793,91.89476481530694,27.311280746395255
sz.000589,91.86819027371777,27.27272727272727
sh.688388,91.84161573212862,27.255985267034987
sz.000921,91.81504119053946,27.118644067796605
sh.600844,91.7884666489503,26.954177897574123
sz.300037,91.76189210736115,26.636455186304136
sz.002280,91.735317565772,26.530612244897966
sh.603181,91.70874302418284,26.529947142376216
sz.300413,91.68216848259367,26.516317837456576
sz.300196,91.65559394100453,26.329787234042563
sh.601225,91.62901939941536,26.30906768837804
sz.000049,91.6024448578262,26.216640502354792
sz.002563,91.57587031623704,26.187245590230674
sz.000659,91.54929577464789,26.071428571428573
sh.600481,91.52272123305873,25.796178343949045
sz.000981,91.49614669146958,25.698324022346362
sz.300221,91.46957214988042,24.8263888888889
sz.000100,91.44299760829125,24.77876106194691
sz.000737,91.4164230667021,24.695121951219516
sz.300705,91.38984852511294,24.634858812074015
sz.300776,91.36327398352378,24.576180829512737
sz.300211,91.33669944193463,24.50704225352113
sz.002138,91.31012490034547,24.47475119793588
sh.601311,91.28355035875632,24.455825864276584
sh.601388,91.25697581716715,24.16666666666667
sh.600600,91.230401275578,24.035532994923855
sh.603638,91.20382673398883,23.959987297554775
sz.002164,91.17725219239968,23.479729729729726
sz.300616,91.15067765081052,23.371647509578544
sz.300059,91.12410310922137,23.369375653993703
sh.600460,91.0975285676322,23.157894736842096
sh.601808,91.07095402604305,23.120973514674294
sh.600765,91.0443794844539,23.002084781097977
sz.300721,91.01780494286473,22.79108175061932
sz.300802,90.99123040127559,22.477208425023584
sh.600096,90.96465585968642,22.242314647377928
sh.603223,90.93808131809726,22.132253711201084
sz.300549,90.9115067765081,22.08300704776821
sh.601218,90.88493223491895,21.921921921921907
sz.300285,90.8583576933298,21.87654320987654
sz.002723,90.83178315174064,21.838111298482293
sz.300373,90.80520861015148,21.81082762912258
sz.000933,90.77863406856231,21.69117647058823
sh.600305,90.75205952697316,21.679316888045545
sh.600025,90.725484985384,21.599999999999987
sz.002507,90.69891044379484,21.525121142565666
sz.300529,90.67233590220569,21.464985242822642
sh.600966,90.64576136061653,21.463414634146343
sz.002206,90.61918681902738,21.44846796657383
sh.600761,90.5926122774382,21.292083712465875
sh.600754,90.56603773584906,21.262135922330092
sh.600470,90.5394631942599,21.202531645569618
sz.000538,90.51288865267074,21.176787155798728
sz.000812,90.48631411108158,21.005917159763314
sh.600792,90.45973956949243,20.700636942675153
sz.002651,90.43316502790327,20.617283950617285
sh.603826,90.40659048631412,20.588235294117656
sz.002216,90.38001594472496,20.512820512820504
sh.600177,90.35344140313579,20.420420420420413
sz.000596,90.32686686154663,20.33394108051052
sz.300708,90.30029231995749,20.266836086404062
sh.600893,90.27371777836832,20.064446831364133
sz.000718,90.24714323677917,20.0
sz.300122,90.22056869519001,19.983523483202372
sz.300087,90.19399415360085,19.878292766691725
sz.002001,90.16741961201168,19.83498349834984
sz.000725,90.14084507042254,19.47261663286004
sh.600884,90.11427052883337,19.446579554189082
sz.002617,90.08769598724422,19.275123558484346
sh.601577,90.06112144565506,19.269102990033225
sh.600071,90.0345469040659,19.145439605587512
sh.601838,90.00797236247675,19.13513513513513
sz.002646,89.9813978208876,19.11764705882353
sz.300443,89.95482327929844,19.020979020979013
sh.601689,89.92824873770927,18.929622892554544
sh.600887,89.90167419612011,18.906544573121455
sz.002256,89.87509965453096,18.796992481203006
sz.300459,89.8485251129418,18.530351437699682
sz.002607,89.82195057135264,18.49849849849851
sz.002819,89.79537602976349,18.493909191583615
sh.603338,89.76880148817433,18.426334805299078
sh.600875,89.74222694658516,18.227501060240947
sh.600983,89.71565240499602,18.18181818181819
sz.300569,89.68907786340685,18.121442125237195
sh.603758,89.6625033218177,18.116805721096537
